,gameName,genre,reviewScore,playTime
371,Deadly Premonition,Action,76,90.65
372,Final Doom,Shooter,78,13.1
373,Tom Clancy's The Division,Shooter,72,70.61
374,Prince of Persia: Warrior Within,Action,77,37.2
375,Condemned: Criminal Origins,Action,75,28.98
376,Tropico 3,Strategy,75,49.42
377,Mini Ninjas,Action,70,31.51
378,Kingdoms of Amalur: Reckoning,Role-Playing,77,143.69
379,Mount & Blade,Role-Playing,74,55.52
380,Batman: Arkham City,Action,86,96.03
381,Final Fantasy II,Role-Playing,62,17.98
382,Halo 3,Shooter,83,30.19
383,"Warhammer 40,000: Dawn of War II - Chaos Rising",Strategy,78,10.82
384,Halo: Reach,Shooter,81,30.63
385,Supreme Commander 2,Strategy,71,15.72
386,The Legend of Zelda: Phantom Hourglass,Action,74,15.38
387,The Legend of Zelda: Spirit Tracks,Action,74,22.58
388,Chrono Cross,Role-Playing,83,183.59
389,Battlefield 3,Shooter,75,31.94
390,Disgaea: Hour of Darkness,Role-Playing,82,95.93
391,Metroid: Zero Mission,Adventure,84,4.58
392,Gothic 3,Role-Playing,73,45.58
393,Fable III,Role-Playing,67,50.91
394,Legacy of Kain: Defiance,Action,77,23.5
395,Paper Mario: The Thousand-Year Door,Role-Playing,90,31.47
396,Dragon Age: Inquisition,Role-Playing,81,293.92
397,GRID,Racing,63,116.93
398,God of War: Ghost of Sparta,Action,78,6.25
399,Metroid Fusion,Action,82,5.28
400,Prince of Persia: The Two Thrones,Action,78,39.87
401,Sid Meier's Pirates!,Strategy,78,11.5
402,Sniper: Ghost Warrior,Shooter,56,17.47
403,The Legend of Zelda: The Wind Waker,Action,89,55.42
404,Halo Wars,Strategy,70,35.85
405,Metal Gear Solid 4: Guns of the Patriots,Action,86,18.72
406,Sonic Lost World,Platform,60,14.86
407,Dungeon Siege III,Role-Playing,67,49.16
408,Red Orchestra 2: Heroes of Stalingrad,Shooter,69,6.87
409,Turok: Dinosaur Hunter,Shooter,70,21.99
410,God of War: Chains of Olympus,Action,75,5.27
411,Need for Speed: Most Wanted,Racing,84,79.4
412,Star Wars: Starfighter,Simulation,59,17.47
413,Supreme Commander: Forged Alliance,Strategy,77,18.1
414,Homefront: The Revolution,Shooter,60,48.8
415,Dead Rising 2: Off the Record,Action,73,53.31
416,Halo 4,Shooter,74,28.29
417,The Legend of Zelda: Skyward Sword,Action,82,76.22
418,Wolfenstein 3D,Shooter,74,25.61
419,Dead Island: Riptide,Action,67,50.25
420,New Super Mario Bros. Wii,Platform,78,18.22
421,The Sims 3,Simulation,77,59.77
422,Dungeon Siege II,Role-Playing,74,27.17
423,Prince of Persia: The Forgotten Sands,Action,71,47.22
424,Gears of War 2,Shooter,81,29.61
425,Naruto Shippuden: Ultimate Ninja Storm 2,Fighting,75,86.6
426,Lost Planet 3,Shooter,62,33.69
427,Age of Empires III: Complete Collection,Strategy,77,21.93
428,Earth Defense Force 4.1: The Shadow of New Despair,Shooter,76,60.27
429,Edna & Harvey: Harvey's New Eyes,Adventure,77,7.4
430,Supreme Commander,Strategy,74,18.77
431,Manhunt,Action,70,53.43
432,Super Mario World 2: Yoshi's Island,Platform,84,26.56
433,Need for Speed: Hot Pursuit,Racing,76,43.93
434,Banjo-Kazooie,Platform,86,46.98
435,Batman: Arkham Asylum,Action,85,83.01
436,Guild Wars 2,Action,77,84.63
437,Kane & Lynch: Dead Men,Shooter,61,17.66
438,Super Smash Bros. Brawl,Fighting,83,22.42
439,Crash Bandicoot,Platform,75,43.55
440,Fable: The Lost Chapters,Role-Playing,81,27.75
441,Call of Duty 2,Shooter,78,23.47
442,Kingdom Hearts,Role-Playing,83,56.67
443,Super Mario RPG: Legend of the Seven Stars,Role-Playing,83,54.32
444,Turok 2: Seeds of Evil,Platform,67,22.22
445,Goodbye Deponia,Adventure,78,20.28
446,The Legend of Zelda: Twilight Princess HD,Action,86,29.77
447,Batman: Arkham Origins Blackgate,Action,60,29.12
448,Gears of War 3,Shooter,82,28.67
449,The Whispered World,Adventure,69,10.22
450,Worms: Ultimate Mayhem,Strategy,68,20.12
451,Assassin's Creed Chronicles: China,Action,65,29.76
452,Devil May Cry 2,Action,48,38.68
453,Gears of War,Shooter,78,36.05
454,Mario Kart Wii,Racing,81,6.17
455,Final Fantasy III,Role-Playing,74,16.13
456,A New Beginning,Adventure,67,9.92
457,Arx Fatalis,Role-Playing,76,20.73
458,Metal Gear Solid: Peace Walker,Action,78,53.32
459,TERA,Role-Playing,65,98.53
460,Total War: Rome II,Strategy,76,52.73
461,Castlevania: Lords of Shadow 2,Action,71,64.09
462,Fire Emblem,Strategy,82,27.48
463,Golden Sun,Role-Playing,83,22.52
464,Jak and Daxter: The Precursor Legacy,Platform,80,36.56
465,Naruto: Ultimate Ninja Storm,Fighting,68,65.07
466,Dragon Age II,Action,73,102.49
467,Spyro the Dragon,Platform,78,37.14
468,Two Worlds II,Role-Playing,64,91.18
469,Dark Souls,Role-Playing,92,226.59
470,Red Faction,Shooter,71,20.49
471,Donkey Kong Country 2: Diddy's Kong Quest,Platform,87,16.88
472,Phoenix Wright: Ace Attorney,Adventure,84,77.58
473,Sonic the Hedgehog,Platform,72,6.22
474,Enclave,Adventure,63,8.27
475,Teslagrad,Platform,71,15.61
476,Halo: Combat Evolved,Shooter,82,40.04
477,Oddworld: Abe's Exoddus,Platform,83,16.15
478,Super Mario Bros. 2,Platform,69,9.29
479,Dragon Quest VIII: Journey of the Cursed King,Role-Playing,86,70.95
480,LEGO Indiana Jones: The Original Adventures,Action,71,57.24
481,LEGO Pirates of the Caribbean: The Video Game,Action,71,46.27
482,Mario Kart DS,Racing,80,7.23
483,The Night of the Rabbit,Adventure,70,9.63
484,Evil Genius,Strategy,71,27.37
485,God of War: Ascension,Action,73,8.7
486,Napoleon: Total War,Strategy,76,32.75
487,Resident Evil 3: Nemesis,Action,81,27.04
488,Super Paper Mario,Platform,78,38.48
489,The Legend of Heroes: Trails of Cold Steel II,Role-Playing,83,211.38
490,War for the Overworld,Strategy,72,14.38
491,One Piece: Pirate Warriors 3,Action,73,46.57
492,Tokyo Xanadu eX+,Role-Playing,75,123.55
493,Brink,Shooter,52,19.45
494,Killer7,Action,82,38.92
495,Operation Flashpoint: Dragon Rising,Shooter,59,43.66
496,Silent Hill 3,Action,82,28.54
497,The Testament of Sherlock Holmes,Adventure,75,38.76
498,Worms,Strategy,74,7.47
499,Rayman Raving Rabbids,Misc,62,23.67
500,Commandos 2: Men of Courage,Strategy,83,20.67
501,Operation Flashpoint: Red River,Shooter,62,32.96
502,Oddworld: Stranger's Wrath,Adventure,72,19.73
503,State of Decay,Strategy,75,65.03
504,No More Heroes,Action,78,32.24
505,Sega Bass Fishing,Sports,69,6.9
506,Grand Theft Auto 2,Action,69,12.42
507,Risen 3: Titan Lords,Role-Playing,71,106.85
508,Bionic Commando,Platform,62,21.66
509,Castlevania: Lords of Shadow - Mirror of Fate,Action,71,30.65
510,King's Bounty: Armored Princess,Role-Playing,82,29.48
511,Kirby's Adventure,Platform,77,7.87
512,Metroid Prime 2: Echoes,Shooter,84,33.85
513,Resident Evil,Action,88,22.2
514,The Bard's Tale,Role-Playing,70,54.39
515,The Elder Scrolls IV: Oblivion,Role-Playing,83,111.28
516,Tom Clancy's Splinter Cell: Double Agent,Action,69,65.41
517,Minecraft: Story Mode,Adventure,68,70.78
518,Castlevania: Aria of Sorrow,Platform,85,13.98
519,Republique,Action,63,21.06
520,Fable II,Role-Playing,76,37.34
521,Metroid Prime 3: Corruption,Shooter,83,27.97
522,Halo 5: Guardians,Shooter,70,16.08
523,Star Trek Online,Role-Playing,58,196.4
524,Battlestations: Midway,Strategy,60,16.42
525,Bejeweled 3,Puzzle,72,12.53
526,Botanicula,Adventure,76,3.53
527,Grand Theft Auto,Action,66,47.2
528,Stronghold,Strategy,78,19.9
529,The King of Fighters XIII,Fighting,78,10.47
530,XIII,Shooter,73,17.55
531,Deadpool,Action,70,45.83
532,Rocksmith 2014,Misc,84,411.87
533,Contrast,Platform,67,22.07
534,Xenoblade Chronicles X,Role-Playing,82,68.23
535,Xenogears,Role-Playing,87,121.25
536,Fire Emblem: Path of Radiance,Action,86,34.43
537,Oddworld: Munch's Oddysee,Platform,63,25.52
538,Red Faction II,Shooter,61,19.48
539,Sid Meier's Railroads!,Simulation,63,16.43
540,Silent Hill: Homecoming,Action,62,39.37
541,Command & Conquer: Red Alert 3,Strategy,75,63.67
542,Broken Sword 5: The Serpent's Curse,Adventure,72,43.66
543,Castlevania,Platform,74,10.08
544,Fire Emblem: The Sacred Stones,Strategy,81,23.87
545,Blood Bowl,Sports,66,3.42
546,The Inner World,Adventure,73,6.43
547,Sonic Unleashed,Platform,67,76.66
548,The Longest Journey,Adventure,84,17.97
549,Saints Row IV,Action,75,75.08
550,Agatha Christie: The ABC Murders,Adventure,65,29.55
551,Anno 2070,Strategy,71,26.83
552,Parasite Eve,Role-Playing,80,19.63
553,Lost Planet: Extreme Condition,Shooter,68,30.71
554,Tom Clancy's Rainbow Six: Vegas 2,Shooter,75,33.74
555,Wii Sports,Sports,75,4.87
556,BlazBlue: Chrono Phantasma,Fighting,76,69.48
557,Overwatch,Shooter,80,142.67
558,Game of Thrones,Role-Playing,68,58.87
559,Halo 3: ODST,Shooter,75,24.42
560,Pikmin 2,Strategy,84,24.57
561,"999: Nine Hours, Nine Persons, Nine Doors",Adventure,86,44.24
562,Blades of Time,Action,65,18.58
563,Devil May Cry 4,Action,77,45.5
564,Grandia,Role-Playing,82,79.63
565,Unreal Tournament,Shooter,85,24.33
566,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Platform,80,16.0
567,inFAMOUS,Action,77,14.75
568,Ratchet & Clank: Up Your Arsenal,Platform,84,23.02
569,Quake 4,Shooter,71,16.28
570,Aliens: Colonial Marines,Shooter,48,20.82
571,Crash Bandicoot 3: Warped,Platform,83,31.27
572,Halo 2,Shooter,82,36.16
573,Kirby 64: The Crystal Shards,Platform,73,7.85
574,Saints Row,Action,60,65.31
575,Defiance,Shooter,60,30.0
576,Mario Kart 64,Racing,79,9.5
577,X3: Terran Conflict,Simulation,80,47.83
