,Unnamed: 0,gameName,genre,reviewScore,playTime,appID
398,398,God of War: Ghost of Sparta,Action,78,6.25,
399,399,Metroid Fusion,Action,82,5.28,
400,400,Prince of Persia: The Two Thrones,Action,78,39.87,13530
401,401,Sid Meier's Pirates!,Strategy,78,11.5,3920
402,402,Sniper: Ghost Warrior,Shooter,56,17.47,1338770
403,403,The Legend of Zelda: The Wind Waker,Action,89,55.42,
404,404,Halo Wars,Strategy,70,35.85,459220
405,405,Metal Gear Solid 4: Guns of the Patriots,Action,86,18.72,
406,406,Sonic Lost World,Platform,60,14.86,329440
407,407,Dungeon Siege III,Role-Playing,67,49.16,39160
408,408,Red Orchestra 2: Heroes of Stalingrad,Shooter,69,6.87,35450
409,409,Turok: Dinosaur Hunter,Shooter,70,21.99,
410,410,God of War: Chains of Olympus,Action,75,5.27,
411,411,Need for Speed: Most Wanted,Racing,84,79.4,1262560
412,412,Star Wars: Starfighter,Simulation,59,17.47,32350
413,413,Supreme Commander: Forged Alliance,Strategy,77,18.1,9420
414,414,Homefront: The Revolution,Shooter,60,48.8,223100
415,415,Dead Rising 2: Off the Record,Action,73,53.31,45770
416,416,Halo 4,Shooter,74,28.29,
417,417,The Legend of Zelda: Skyward Sword,Action,82,76.22,
418,418,Wolfenstein 3D,Shooter,74,25.61,2270
419,419,Dead Island: Riptide,Action,67,50.25,383180
420,420,New Super Mario Bros. Wii,Platform,78,18.22,
421,421,The Sims 3,Simulation,77,59.77,47890
422,422,Dungeon Siege II,Role-Playing,74,27.17,39200
423,423,Prince of Persia: The Forgotten Sands,Action,71,47.22,13600
424,424,Gears of War 2,Shooter,81,29.61,3595230
425,425,Naruto Shippuden: Ultimate Ninja Storm 2,Fighting,75,86.6,349040
426,426,Lost Planet 3,Shooter,62,33.69,226720
427,427,Age of Empires III: Complete Collection,Strategy,77,21.93,
428,428,Earth Defense Force 4.1: The Shadow of New Despair,Shooter,76,60.27,410320
429,429,Edna & Harvey: Harvey's New Eyes,Adventure,77,7.4,219910
430,430,Supreme Commander,Strategy,74,18.77,9420
431,431,Manhunt,Action,70,53.43,2421410
432,432,Super Mario World 2: Yoshi's Island,Platform,84,26.56,
433,433,Need for Speed: Hot Pursuit,Racing,76,43.93,1328660
434,434,Banjo-Kazooie,Platform,86,46.98,
435,435,Batman: Arkham Asylum,Action,85,83.01,35140
436,436,Guild Wars 2,Action,77,84.63,1284210
437,437,Kane & Lynch: Dead Men,Shooter,61,17.66,8080
